"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL1200946";"NANDROLONE DECANOATE";"DECA-DURABOLIN|Durabolin|NANDROLONE DECANOATE|NANDROLONE DECANOATE CIII";"";"4.0";"Watson Laboratories Inc|Abraxis Pharmaceutical Products|American Regent Inc|Woodward Specialty Llc|Akorn Operating Co Llc";"'-andr-; -olone'";"1965";"androgens; steroids (not prednisolone derivatives)";"'-andr-(-andr-); -olone(-olone)'";"1983";"S01XA11 | A14AB01";"S01XA - Other ophthalmologicals | A14AB - Estren derivatives";"S01X - OTHER OPHTHALMOLOGICALS | A14A - ANABOLIC STEROIDS";"S01 - OPHTHALMOLOGICALS | A14 - ANABOLIC AGENTS FOR SYSTEMIC USE";"S - SENSORY ORGANS | A - ALIMENTARY TRACT AND METABOLISM";"Androgen";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"0";"1";"0";"0";"Prescription Only";"CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C"
"CHEMBL2010601";"IVACAFTOR";"IVACAFTOR|KALYDECO|VX-770";"VX-770";"4.0";"Vertex Pharmaceuticals Inc";"'-caftor'";"2010";"cystic fibrosis transmembrane regulator (CFTR) protein modulators";"'-caftor(-caftor)'";"2012";"R07AX02";"R07AX - Other respiratory system products";"R07A - OTHER RESPIRATORY SYSTEM PRODUCTS";"R07 - OTHER RESPIRATORY SYSTEM PRODUCTS";"R - RESPIRATORY SYSTEM";"";"US-7495103-B2";"1:Synthetic Small Molecule";"0";"1";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O"
"CHEMBL1201012";"FLURANDRENOLIDE";"33379|CORDRAN SP|Cordran|FLUDROXICORTIDE|FLUDROXYCORTIDE|FLURANDRENOLIDE|FLURANDRENOLONE|HAELAN|HAELAN-C|HAELAN-X|NSC-757869";"33379|NSC-757869";"4.0";"Cintex Services Llc|Alpharma Us Pharmaceuticals Division|Teligent Pharma Inc|Eli Lilly And Co|Almirall Llc|Padagis Israel Pharmaceuticals Ltd";"'-andr-'";"1969";"androgens";"'-andr-(-andr-)'";"1965";"D07AC07";"D07AC - Corticosteroids, potent (group III)";"D07A - CORTICOSTEROIDS, PLAIN";"D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS";"D - DERMATOLOGICALS";"Glucocorticoid";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1"
"CHEMBL383634";"GLIQUIDONE";"ARDF 26|ARDF-26|GLIQUIDONE|GLURENORM";"ARDF 26|ARDF-26";"4.0";"";"'gli-'";"";"antidiabetics";"'gli-(gli-)'";"";"A10BB08";"A10BB - Sulfonylureas";"A10B - BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS";"A10 - DRUGS USED IN DIABETES";"A - ALIMENTARY TRACT AND METABOLISM";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C"
"CHEMBL1207745";"BERAPROST";"BERAPROST|MDL-201229|ML-1229|TRK-100STP FREE ACID";"MDL-201229|ML-1229|TRK-100STP FREE ACID";"3.0";"";"'-prost'";"1991";"prostaglandins";"'-prost(-prost)'";"";"B01AC19";"B01AC - Platelet aggregation inhibitors excl. heparin";"B01A - ANTITHROMBOTIC AGENTS";"B01 - ANTITHROMBOTIC AGENTS";"B - BLOOD AND BLOOD FORMING ORGANS";"Platelet Aggregation Inhibitor";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2c3cccc(CCCC(=O)O)c3O[C@H]2C[C@H]1O"
"CHEMBL1963681";"AVANAFIL";"AVANAFIL|SPEDRA|STENDRA|TA-1790";"TA-1790";"4.0";"Metuchen Pharmaceuticals Llc";"'-afil'";"2000";"phosphodiesterase type 5 inhibitors (PDE5) inhibitors: (PDE5) inhibitors containing a sulfonamide moiety";"'-afil(-afil (denafil))'";"2011";"G04BE10";"G04BE - Drugs used in erectile dysfunction";"G04B - UROLOGICALS";"G04 - UROLOGICALS";"G - GENITO URINARY SYSTEM AND SEX HORMONES";"";"US-6656935-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl"
"CHEMBL428676";"AMONAFIDE";"AMONAFIDE|AS-1413|NAFIDIMIDE|NSC-308847";"AS-1413|NSC-308847";"3.0";"";"";"2011";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O"
"CHEMBL1098659";"WATER";"ADELHEID AQUA|ADELHEIDSQUELLE|AQUA ADELHEID|AQUA PRO INJECTIONE|AQUA PURIFICATA|AQUA STERILISATA PRO INJECTIONE|AQUA WIESBADEN|AQUA WILDBAD|B1217|NSC-147337|PUR-WASH|PURIFIED WATER|R-718|STERILE PURIFIED WATER|STERILE WATER|STERILE WATER FOR INHALATION|STERILE WATER FOR INJECTION|STERILE WATER FOR INJECTIONS|STERILE WATER FOR IRRIGATION|ULTREX II ULTRAPURE|WATER|WATER FOR HEMODIALYSIS|WATER FOR INHALATION, STERILE|WATER FOR INJECTION|WATER FOR INJECTIONS|WATER FOR IRRIGATION,STERILE|WATER PURIFIED|WATER, DEIONIZED|WATER, PURIFIED|WATER, PURIFIED STERILE|WATER, STERILE PURIFIED|WATER,BACTERIOSTATIC|WATER,BACTERIOSTATIC INJECTION|WATER,DEIONIZED|WATER,DISTILLED|WATER,PURIFIED|WATER,SANITIZED|WATER,STERILE|WIESBADEN|WIESBADEN AQUA|WILDBAD AQUA";"B1217|NSC-147337|R-718";"4.0";"Fresenius Kabi Usa Llc|Hospira Inc|Abraxis Pharmaceutical Products|Taro Pharmaceuticals Usa Inc|B Braun Medical Inc|Niagara Pharmaceuticals Inc|Icu Medical Inc|Hikma Pharmaceuticals Usa Inc|Miles Laboratories Inc|Nephron Pharmaceuticals Corp";"'deu-'";"1963";"deuterated compounds";"'deu-(deu-)'";"2011";"";"";"";"";"";"Diagnostic Aid (radioactive, vascular disorders); Radioactive Agent,Radioactive Agent";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"1";"0";"Over the Counter";"O"
"CHEMBL3989690";"TESOFENSINE";"NS 2330|NS-2330|TESOFENSINE";"NS 2330|NS-2330";"2.0";"";"'-fensine'";"";"norepinephrine, serotonin, dopamine, reuptake inhibitor";"'-fensine(-fensine)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCOC[C@@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1N2C"
"CHEMBL1201208";"PHENMETRAZINE";"PHENMETRAZINE|Phenmetrazine|Preludin|TRANS-PHENMETRAZINE";"";"4.0";"Boehringer Ingelheim Pharmaceuticals Inc";"";"";"";"";"1982";"";"";"";"";"";"Anorexic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Discontinued";"CC1NCCOC1c1ccccc1"
"CHEMBL1082462";"DBPR-108";"DBPR-108|PRUSOGLIPTIN";"DBPR-108";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N"
"CHEMBL2051955";"LEVOSIMENDAN";"(-)-OR-1259|(R)-SIMENDAN|LEVOSIMENDAN|NSC-759644|OR-1259|SIMENDAN, (R)-|Simdax";"(-)-OR-1259|NSC-759644|OR-1259";"3.0";"";"'-dan'";"1998";"positive inotropic agents (pimobendan type)";"'-dan(-dan)'";"";"C01CX08";"C01CX - Other cardiac stimulants";"C01C - CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1"
"CHEMBL378031";"FLUOROFURANYLNORPROGESTERONE";"FLUOROFURANYLNORPROGESTERONE";"";"2.0";"";"'-gest-; -ster-; -terone'";"";"progestins; steroids (androgens, anabolics); antiandrogens";"'-gest-(-gest-); -ster-(-ster-); -terone(-terone)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1C[C@H]1O[C@@H](c3ccco3)O[C@]12C(=O)CF"
"CHEMBL765";"GUANETHIDINE";"Esimil|GUANETHIDINE|Guanethidine|Ismelin";"";"4.0";"Watson Laboratories Inc|Novartis Pharmaceuticals Corp";"'guan-'";"1963";"antihypertensives (guanidine deriviatives)";"'guan-(guan-)'";"1960";"S01EX01 | C02CC02";"S01EX - Other antiglaucoma preparations | C02CC - Guanidine derivatives";"S01E - ANTIGLAUCOMA PREPARATIONS AND MIOTICS | C02C - ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING";"S01 - OPHTHALMOLOGICALS | C02 - ANTIHYPERTENSIVES";"S - SENSORY ORGANS | C - CARDIOVASCULAR SYSTEM";"Antihypertensive";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"N=C(N)NCCN1CCCCCCC1"
"CHEMBL1229517";"VEMURAFENIB";"PLX-4032|PLX4032|RG 7204|RG-7204|RO 5185426|RO-51-85426|RO-5185426|VEMURAFENIB|ZELBORAF";"PLX-4032|PLX4032|RG 7204|RG-7204|RO 5185426|RO-51-85426|RO-5185426";"4.0";"Hoffmann La Roche Inc";"'-rafenib'";"2010";"rapidly accelerated fibrosarcoma (RAF) kinase inhibitors";"'-rafenib(-rafenib)'";"2011";"L01EC01";"L01EC - B-Raf serine-threonine kinase (BRAF) inhibitors";"L01E - PROTEIN KINASE INHIBITORS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"US-7504509-B2";"1:Synthetic Small Molecule";"0";"1";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F"
"CHEMBL522892";"DOVITINIB";"CHIR-258|DOVITINIB|Dovitinib|GFKI-258|NVP-TKI258|TKI-258";"CHIR-258|GFKI-258|NVP-TKI258|TKI-258";"3.0";"";"'-tinib'";"2007";"tyrosine kinase inhibitors";"'-tinib(-tinib)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1"
"CHEMBL3989918";"INGENOL DISOXATE";"INGENOL DISOXATE|LEO 43204|LEO-43204|LEO43204";"LEO 43204|LEO-43204|LEO43204";"3.0";"";"";"2016";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCc1noc(CC)c1C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C"
"CHEMBL216913";"MITOGUAZONE";"MITOGUAZONE";"";"3.0";"";"";"";"";"";"";"L01XX16";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(/C=N/NC(=N)N)=N\NC(=N)N"
"CHEMBL3989916";"TIGILANOL TIGLATE";"EBC-46|EBI-46|TIGILANOL TIGLATE";"EBC-46|EBI-46";"2.0";"";"";"2016";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C/C=C(\C)C(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@H]([C@@H]3C(C)(C)[C@]13OC(=O)[C@@H](C)CC)[C@@H]1O[C@]1(CO)[C@@H](O)[C@]1(O)C(=O)C(C)=C[C@H]12"
"CHEMBL218166";"BIFEPRUNOX";"BIFEPRUNOX";"";"3.0";"";"";"2005";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1"
"CHEMBL1428";"NIMODIPINE";"ADMON|BAY E 9736|BAY-E-9736|NEMOTAN|NIMODIPINE|NIMODIPINE AP|NSC-758476|NYMALIZE|Nimotop|PERIPLUM";"BAY E 9736|BAY-E-9736|NSC-758476";"4.0";"Thepharmanetwork Llc|Sun Pharmaceutical Industries Inc|Sofgen Pharmaceuticals|Bionpharma Inc|Azurity Pharmaceuticals Inc|Heritage Pharmaceuticals Inc Dba Avet Pharmaceuticals Inc|Bayer Pharmaceuticals Corp";"'-dipine; -pine'";"1979";"phenylpyridine vasodilators; tricyclic compounds";"'-dipine(-dipine); -pine(-pine)'";"1988";"C08CA06";"C08CA - Dihydropyridine derivatives";"C08C - SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS";"C08 - CALCIUM CHANNEL BLOCKERS";"C - CARDIOVASCULAR SYSTEM";"Vasodilator";"US-7070581-B2";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Prescription Only";"COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1"
"CHEMBL2142890";"ACEGLUMATE";"";"";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC(=O)NC(CCC(=O)O)C(=O)O"
"CHEMBL374975";"FUSIDIC ACID";"ANHYDROUS FUSIDIC ACID|CEM-102|FUCIDIN CAVIJECT|FUCITHALMIC|FUSIDATE|FUSIDIC ACID|NSC-56192|RAMYCIN|SQ 16,603|SQ-16603|TAKSTA";"CEM-102|NSC-56192|SQ 16,603|SQ-16603";"4.0";"";"";"1967";"";"";"";"J01XC01 | S01AA13 | D06AX01 | D09AA02";"J01XC - Steroid antibacterials | S01AA - Antibiotics | D06AX - Other antibiotics for topical use | D09AA - Medicated dressings with antiinfectives";"J01X - OTHER ANTIBACTERIALS | S01A - ANTIINFECTIVES | D06A - ANTIBIOTICS FOR TOPICAL USE | D09A - MEDICATED DRESSINGS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS | D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE | D09 - MEDICATED DRESSINGS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS | D - DERMATOLOGICALS | D - DERMATOLOGICALS";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O"
"CHEMBL2109172";"DIGITALIS";"DIGITALIS|DIGITALIS LEAF|DIGITALIS LEAVES|DIGITALIS PURPUREA|DIGITALIS PURPUREA LEAF|DIGITALIS PURPUREA LEAF EXTRACT|DIGITALIS PURPUREA WHOLE|DIGITALIS, POWDERED|DIGITALIS,POWDERED|Digifortis|Digiglusin|FOXGLOVE LEAF|FOXGLOVE WHOLE|MAO DI HUANG LEAF|MAO DI HUANG WHOLE|PURPLE FOXGLOVE LEAF|PURPLE FOXGLOVE WHOLE";"";"3.0";"";"";"";"";"";"";"C01AA03";"C01AA - Digitalis glycosides";"C01A - CARDIAC GLYCOSIDES";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"Cardiotonic";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL652";"FLECAINIDE";"FLECAINIDE|Flecainide|NSC-719273|THN-102 COMPONENT FLECAINIDE";"NSC-719273|THN-102 COMPONENT FLECAINIDE";"4.0";"Alvogen Inc|Sun Pharmaceutical Industries Ltd|Aurobindo Pharma Ltd|Ani Pharmaceuticals Inc|Yichang Humanwell Pharmaceutical Co Ltd|Amneal Pharmaceutical|Chartwell Life Molecules Llc|Hikma Pharmaceuticals Usa Inc|Beximco Pharmaceuticals Usa Inc";"";"1977";"";"";"1985";"C01BC04";"C01BC - Antiarrhythmics, class Ic";"C01B - ANTIARRHYTHMICS, CLASS I AND III";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"Cardiac Depressant (anti-arrhythmic)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Prescription Only";"O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F"
"CHEMBL776";"METAPROTERENOL";"Metaproterenol|ORCIPRENALINE";"";"4.0";"Usl Pharma Inc|Apotex Inc|Dey Lp|Heritage Pharma Labs Inc|Boehringer Ingelheim Pharmaceuticals Inc|Mylan Specialty Lp|American Therapeutics Inc|Watson Laboratories Inc|G And W Laboratories Inc|Muro Pharmaceutical Inc";"";"1964";"";"";"1973";"R03AB03 | R03CB03";"R03AB - Non-selective beta-adrenoreceptor agonists | R03CB - Non-selective beta-adrenoreceptor agonists";"R03A - ADRENERGICS, INHALANTS | R03C - ADRENERGICS FOR SYSTEMIC USE";"R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES | R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES";"R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM";"Bronchodilator";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"1";"0";"Withdrawn";"CC(C)NCC(O)c1cc(O)cc(O)c1"
